,Input,Output
"
7975,Who was governor of Maryland in January 2015?,"	Martin O'Malley
"
7976,What has become a fundamental tool of modern theoretical physics and the calculus of variations?,"	Noether's theorem
"
7977,Which medal did Greece's women's water polo team win at the 2004 Summer Olympics?,"	silver
"
7978,What period saw the rise of New Comedy?,"	Hellenistic
"
7979,Into what language was Almagest translated in the 12th century?,"	Latin
"
7980,What percentage of soil contained T. canis eggs in Great Britain public parks?,"	24
"
7981,The highest temperature ever recorded in NYC was in what year?,"	1936
"
7982,What admiral was the USS Lexington under?,"	Admiral Fletcher
"
7983,"What airlines was award the ""Best regional airline in Europe"" award by Skytrax?","	Aegean Airlines
"
7984,After a 10 year low in prices what did some farmers resort to?,"	stopped paying their employees
"
7985,"Besides it's features, what did Kinect do for the 360 in terms of sales?","	extended the life of the console
"
7986,Cuarenta Casas is thought to be a branch of which settlement?,"	Paquime
"
7987,In what year did the dynasty of Bayinnaung fully collapse ?,"	1599
"
7988,What does Catalan share with nearby Romance languages?,"	many traits
"
7989,What was Libya's main export?,"	crude oil
"
7990,Who is downgrading the Chinook helicopters?,"	QinetiQ
"
7991,Which office of the United Nations is in charge of applying its official legal procedures?,"	the Office of Legal Affairs
"
7992,How were window decals used in the Bronx in the 1980s?,"	pictures of potted plants and drawn curtains were placed in the windows of abandoned buildings
"
7993,What does the third type of solution to the problem of the direction of time argue?,"	the laws are not time-reversal symmetric
"
7994,Which broadcast do affiliates generally carry?,"	10 p.m
"
7995,The first Glauber's salt heating system was first used where?,"	The ""Dover House""
"
7996,On what Forbes list did Houston appear in 2013?,"	Best Places for Business and Careers
"
7997,"Who was the author of ""Decades of History from the Deterioration of the Roman Empire","	Flavio Biondo
"
7998,Who regained control of Palermo in 1849?,"	The Bourbons
"
7999,In what year did the Altay Sports Club form?,"	1914
"
8000,How present was Smith's invisible hand intended to be?,"	frequently
"
8001,What did a Lebanese publication call the Arabs following Nasser's death?,"	orphans
"
8002,How many staff members did Imperial claim to have in 2014?,"	1,257
"
8003,What happened to geology during the Scientific Revolution?,"	individual theorists made important contributions
"
8004,Which conservative party is popularly against joining the EU?,"	SVP party
"
8005,Who investigated the efficiency of high-brightness LED at Cardiff University in 1995?,"	Alberto Barbieri
"
8006,What did the Victorians aim to remind the reader of their translations?,"	that they were reading a foreign classic
"
8007,Ibn al-Haytham used geometry to demonstrate  what?,"	place (al-makan) is the imagined three-dimensional void between the inner surfaces of a containing body
"
8008,What sutras are reserved for those who follow the bodhisattva path?,"	Mahayana
"
8009,"Other than orchids and birds, what else is housed in the Orchid House?","	butterflies
"
8010,What is this a subdiscipline of?,"	Catalan philology
"
8011,What previous movement is post-punk often identified as coming after?,"	punk rock
"
8012,What are Stromatolites?,"	bacterial fossils
"
8013,What year was the announcement that the human genome had been mapped made in?,"	2000
"
8014,Who was Napoleon's father?,"	Carlo Maria di Buonaparte
"
8015,Who wrote Kitab al-Tasrif?,"	Abu al-Qasim al-Zahrawi
"
8016,Carnival was also a result of what area's folk culture?,"	European
"
8017,In what case did the Supreme Court allow Section 1983 to be used to challenge a method of execution?,"	Hill v. McDonough
"
8018,When did Egyptians start to make red pigment?,"	4000 BC
"
8019,What kind of relationships does systematics aim to discover?,"	phylogenetic
"
8020,In which color system is green created by combining yellow and blue?,"	subtractive
"
8021,When did the Allied invasion of Sicily occur?,"	July–August 1943
"
8022,When did United States begin to provide foreign aid to Israel?,"	1970s
"
8023,What was another term for forms in Plato's theory of forms?,"	ideas
"
8024,"What used to be considered an art, back in the day?","	mending
"
8025,Who currently heads the Emil Verban Society?,"	Illinois Senator Dick Durbin
"
8026,What is the earliest example of Greek architecture in France?,"	Charles de Wailly's crypt in the church of St Leu-St Gilles (1773–80
"
8027,Where is the air the strongest?,"	eastern part of the Great Desert
"
8028,Who largely formalized the developments that led to the theory of conservation of energy?,"	William Thomson
"
8029,What bridged the middle ages to the modern era?,"	European intellectual transformation
"
8030,What could have affected Medieval Europe's embracing of the pointed arch?,"	cultural contacts with the Muslim world
"
8031,Who wrote in their will that they received loving care from the emperor in the east?,"	The Tai Situpa
"
8032,The primary function of a browser is to use what?,"	the World Wide Web
"
8033,What was Zhu Yousong's title?,"	the Hongguang Emperor
"
8034,Where did the Northern Xiongnu flee to in AD 91?,"	Ili River valley
"
8035,What does high-frequency detail lead to?,"	variable bitrate
"
8036,Who led the Nazis?,"	Adolf Hitler
"
8037,What kind of energy consists of the light and heat provided by the Sun?,"	Solar energy
"
8038,Dinic gives several alternate identities of what person?,"	Tito
"
8039,How did Jan Hus die?,"	burned at the stake
"
8040,What group was defeated at the Battle of Lechfeld?,"	Magyar
"
8041,How many forests does Yale own?,"	seven
"
8042,The new sampling rates widened the scope of MP3 to be able to include what?,"	human speech
"
8043,Which cultural group can claim 79% residency?,"	Portuguese
"
8044,How does Whitehead view the relationship between God an the world?,"	Whitehead thus sees God and the world as fulfilling one another
"
8045,What location is a Canadian airforce base located whose name is also a dog breed?,"	Labrador
"
8046,"A collection of miners, maps and mining equipment all belonged to what entity?","	the Museum of Economic Geology
"
8047,What music group was in Kanye's first release off of Graduation?,"	Daft Punk
"
8048,When did the decolonization of the Americas begin?,"	18th and early-to-mid-19th centuries.
"
8049,Ingesting zinc can cause lack of muscle movement and coordination called what?,"	ataxia
"
8050,What does the Freedom House classify Armenia as?,"	Semi-consolidated Authoritarian Regime
"
8051,About how many grants has the NHPRC awarded?,"	4,500
"
8052,What do the vast majority of living organisms encode their genes in?,"	long strands of DNA (deoxyribonucleic acid)
"
8053,What is an example of bad treatment causing resistance?,"	overuse of antibiotics
"
8054,"In classical times, what was Apollo's strong function in popular religion?","	keep away evil,
"
8055,"How many has ""Dangerously in Love"" sould worldwide since its debut?","	11 million
"
8056,How long does the Clock Tower remain purple after a winning game?,"	until a loss or until the end of the sports season
"
8057,How high does the Palacio Salvo stand?,"	100 metres (330 ft) high
"
8058,When was Hussain Sagar lake built?,"	1562
"
8059,What gene needs to be deleted to cause obesity in mice?,"	Rev-ErbA alpha clock
"
8060,What activity is also greatly reduced in newborn infants?,"	phagocytic
"
8061,Who commanded the UK's Eighth Army?,"	Bernard Montgomery
"
8062,Which group of nations did Nguesso side the Congo with?,"	Eastern Bloc
"
8063,What is the role of Imams?,"	providing commentary and interpretation of the Quran
"
8064,At what pressure does PSA work best in?,"	high pressures
"
8065,What was the name of the man that tried to shoot Queen Victoria?,"	John Francis
"
8066,"What's the Indonesian word for ""office""? ","	kantor
"
8067,What is the principal alternative to electric railways?,"	diesel engine
"
8068,What type of scientists rely on glass for distant observations?,"	astronomers
"
8069,What was the name of the chthonic dragon?,"	Python
"
8070,"What does Norman mean in the article when saying ""Near East""?","	the countries where ""the eastern question"" applied
"
8071,"Along with the early modern and ancient, during what period did Somali architecture exist?","	medieval
"
8072,"What state's law requires that capital punishment occur ""within the walls"" of a penitentiary?","	North Carolina
"
8073,Who did Victoria marry?,"	Prince Albert of Saxe-Coburg and Gotha
"
8074,Why has there been a several court cases against Sky and Premier League?,"	The TV rights agreement between the Premier League and Sky has faced accusations of being a cartel
"
8075,"When Gaddafi traveled to London, did he attempt to blend into the English culture?","	finding it difficult adjusting to the country's culture; asserting his Arab identity in London, he walked around Piccadilly wearing traditional Libyan robes
"
8076,What other famous landmark in Ravenna was established by Galla Placidia? ,"	the church of San Giovanni Evangelista
"
8077,On what channel was Tom and Jerry sometimes shown in the mornings?,"	CBBC
"
8078,What year was Bulevar Circunvalcion constructed? ,"	1878
"
8079,Who took issue with Madison's language during the debate over the establishment clause?,"	Elbridge Gerry
"
8080,What music festival does Utrecht host ,"	Utrecht is host to the international Early Music Festival (Festival Oude Muziek, for music before 1800) and the Netherlands Film Festival
"
8081,What is the British Navy constructing to replace their three Invincible-class carriers?,"	two new larger STOVL aircraft carriers, the Queen Elizabeth class
